Gene Name,Centrality,Rank
RP4-612B15.3,0.5427272344279664,317
RP11-90B9.2,0.5469537376515528,318
KLK3,0.5558926322633595,319
RP11-459F6.3,0.5176007755423588,320
LRRC37A15P,0.5278365578311316,321
RP11-656D10.3,0.5550835045914616,322
RP11-422P24.12,0.528949523012326,323
ALAS2,0.5372691279420201,324
RP11-20I23.8,0.5265820750930678,325
AP000253.1,0.5236976936703756,326
TP73,0.6017784966851911,327
RP11-460N20.7,0.546861346316498,328
CH507-513H4.5,0.5426717112544313,329
CPLX3,0.519881260379172,330
DLG5-AS1,0.5272843941606561,331
THRB-AS1,0.5314646827457311,332
ROCK1P1,0.5350887651004993,333
PRKXP1,0.5363925316393542,334
RP11-396C23.4,0.5443530448688894,335
AC007292.3,0.5275906811148574,336
RP11-24C3.2,0.5366351847130802,337
RP1-12G14.7,0.5379676152605418,338
NUTM2A,0.5091274189701577,339
RP11-705O1.8,0.5236607720475329,340
RP11-338K17.5,0.5267352785221302,341
AC093388.3,0.5267841786156894,342
PCDHGA3,0.538741283845759,343
CEP83-AS1,0.5348609765740069,344
HMGB1P31,0.5458490427488254,345
KLRF1,0.5266681675560306,346
RP11-162G10.5,0.5358899724430054,347
RP11-495K9.5,0.5427863564499099,348
RP11-463O9.1,0.5415240400973738,349
ACTG1P20,0.5364673307814023,350
RP11-517C16.2,0.5453153153841312,351
AC097721.2,0.53077728624497,352
CD79A,0.5407723543542509,353
RP5-1000K24.2,0.5256853774818538,354
SYN2,0.5502277146510076,355
RP1-28H20.3,0.5203296892314316,356
CTD-2530H12.4,0.5392984987305398,357
RPL4P2,0.521569125980829,358
GUSBP9,0.5356286509557138,359
KNSTRN,0.5499147865881407,360
POMZP3,0.531289292317001,361
RP11-578F21.2,0.5140275693267359,362
MTX1P1,0.547550647438266,363
EIF5AL1,0.5238301433177869,364
SLC10A4,0.5434224811721827,365
PITX1,0.5684648592365448,366
SVILP1,0.5416995222338657,367
RP11-996F15.6,0.5459446108037413,368
PI4KAP1,0.5383823999160566,369
PDPR,0.5237277194191781,370
CTD-3092A11.1,0.5236424887587058,371
RP11-507K2.3,0.5238750078357031,372
MRPS18AP1,0.5381009176616516,373
BCYRN1,0.5659912888389809,374
RP11-88I18.2,0.54738905485602,375
RP5-1157M23.2,0.5346348045538741,376
AGAP13P,0.5191057836399967,377
LY6D,0.5699941217596254,378
AC007228.9,0.535545169079569,379
TPM3P6,0.5386608407982585,380
SPATA4,0.5480866842302244,381
LINC01139,0.544825464372765,382
RP11-727F15.12,0.5538432287892386,383
GPX7,0.5536187530418867,384
RP11-830F9.6,0.5496917171149396,385
CCDC144A,0.5202476720862009,386
C17orf97,0.5429414736728457,387
RNU4-2,0.5335679979663354,388
RP5-882O7.1,0.5281377426907257,389
SNORD3A,0.5244945559762089,390
CTD-2248H3.1,0.523487666005463,391
RP1-203P18.1,0.5542030094938984,392
ZDHHC11,0.5354139535896869,393
RP11-486O13.5,0.5636844376630186,394
SNRPEP4,0.532918395581517,395
PCDHB2,0.5338224895824356,396
RP11-91J19.3,0.5271403396323766,397
AC024560.2,0.5338208092021237,398
RLIMP1,0.5264801721207908,399
RP11-341N2.1,0.5544368317034284,400
RP11-176H8.1,0.558447887788462,401
RPSAP58,0.5499235626109307,402
AC002398.11,0.5243623471973665,403
RP3-323P24.3,0.5230298682539213,404
CTD-2012J19.3,0.5281484925445988,405
HSPA8P5,0.5204501220910801,406
PP14571,0.5567981782516819,407
CYP4F24P,0.5061534151307663,408
RP11-526I2.5,0.5351711141892931,409
CYTL1,0.5248078151508287,410
AC004987.9,0.5337470731902022,411
PRR13P5,0.5142301866934761,412
HLA-W,0.5349818284623904,413
GS1-304P7.2,0.5424008536368777,414
AGAP12P,0.5287862221192509,415
HNRNPKP1,0.5333363959276527,416
RP11-667F14.1,0.5192455345447428,417
RP11-73B2.6,0.5181811289451194,418
RP11-650L12.4,0.5347361178609598,419
CACYBPP2,0.557894522912283,420
AC005301.9,0.5134235392090218,421
RP11-223A3.1,0.5236575210057602,422
RP11-1102P22.1,0.5029881739260504,423
RP11-51F16.9,0.5305663429616397,424
AGAP14,0.5275604792516031,425
CTD-2651B20.1,0.5320181140856046,426
RP11-96K19.2,0.5171681346942122,427
GOLGA8Q,0.5158242496035544,428
C2orf27A,0.5190697148801205,429
HLA-DOB,0.5335891515410616,430
GPR62,0.5380961122907039,431
DCST1,0.513087848986137,432
CYP2A6,0.5627898996628642,433
LINC00441,0.5237414126587882,434
FAM71F1,0.5498226438220734,435
PCNPP1,0.5291469083320521,436
AP000640.10,0.5270490296410416,437
KCNV2,0.5348415277420854,438
RP11-47I22.1,0.5408977232328425,439
RP11-104L21.3,0.528541462882104,440
KCNK15-AS1,0.5266369872093035,441
AC139100.3,0.5246865515450935,442
TCEAL2,0.5244563114784532,443
RP11-680G24.4,0.5545962639551386,444
DDX11,0.51118803649806,445
RP11-130L8.3,0.5298530159220459,446
EPHA7,0.5495024894079299,447
